State	2004-05	2005-06	2006-07	  2007-08 	2008-09	2009-10	2010-11	2011-12	2012-13	2013-14	2014-15	2015-16
Alabama	5682.83812038015	5840.54978505629	5753.49643243243	6008.16887181949	6475.09170591551	7188.95430251079	8071.13375930572	8451.90222289109	9098.06915636567	9358.92884192072	9496.08410616773	9751.10134925195
Alaska	4328.28136219641	4632.6234493347	4918.50061916462	5069.82213154105	5075.48240621193	5454.60660967444	5759.15295099789	5762.42052566815	6026.14266883162	6012.4447345055	6148.80801037424	6571.3403169487
Arizona	5138.49531151003	5415.51604912999	5481.41914496315	5681.63795487278	6058.46382135258	7263.20433153317	8839.60465297623	9966.7163445791	10133.5031775962	10296.1997094545	10413.8438819488	10646.2783517494
Arkansas	5772.30186906019	6082.37932446264	6231.97717936118	6414.90036485838	6416.50340964885	6627.09214259511	6900.91241267642	7028.99105000841	7286.58046127523	7408.49506258476	7606.4100076367	7867.29673593428
California	5285.92148891235	5527.88128966223	5334.82577886978	5672.47217474796	5897.88849084396	7258.7714939796	8193.73880217053	9436.42576641496	9360.57355611425	9274.19326640112	9186.82433000429	9269.84422722464
Colorado	4703.77709609292	5406.96651995906	5596.34834398034	6227.00187229957	6284.13725882417	6948.47286522932	7748.20083390288	8315.63233328317	8792.85570745164	9292.95357797223	9298.59873229931	9748.18771550465
Connecticut	7983.69453009504	8249.07428863869	8367.54933660934	8677.70233317331	8720.97639613755	9371.01858825824	9827.01312319103	9736.43079469905	10036.6265538795	10453.1104546841	10663.995408121	11397.3365531405
Delaware	8352.89	8610.59723643808	8681.84551351351	8945.80140182429	8995.47341383135	9987.18300820521	10534.1814954291	11026.241145174	11362.6904462602	11502.5237585947	11514.6598014093	11676.2155974718
Florida	3848.20124604013	3924.23388945752	3887.65606879607	3879.41643783005	4150.00431888855	4783.03172030778	5510.6588016201	5940.94464461186	6494.90052552553	6451.66442889583	6344.99975526532	6360.15930923139
Georgia	4298.04009503696	4492.1668986694	4584.26774447174	4790.26583773404	4831.36450510084	5549.91261707631	6428.00724734073	7709.2841423146	7853.25662581186	7992.38960427405	8063.01419517582	8446.96142631558
Hawaii	4266.5387750792	4263.77233367451	4957.20126781327	5748.08986077772	6317.77128075503	7356.29392015825	8164.18222933705	8839.58477704694	8972.02537712131	9269.58984764606	9712.77926400284	10174.7337203056
Idaho	4524.84959873284	4790.17905834186	4873.93623587224	5020.55606337014	5003.87448855267	5414.71107169226	5834.68641490567	6002.21327714875	6238.64623053286	6462.25794963741	6609.70917909076	6818.47034374681
Illinois	8182.78287222809	8444.49209825998	9449.99475184275	10424.9291694671	10872.4688312633	11536.4597331798	12007.6313855723	12285.4171793805	12675.2124450031	12852.8331026631	12812.5526019226	13189.10082623
Indiana	7367.52871172122	7517.47886386899	7687.35611793612	7876.84229476716	7835.64214144133	8470.04435549405	8744.36680717946	8813.17588371208	9078.27715797193	9118.77841787013	9048.66074436551	9119.64854588429
Iowa	6813.10548046463	6862.82920163767	6919.20687960688	7124.10260201632	6979.60203487843	7438.3014148994	7832.49180087243	7988.16205593081	8157.4283905999	8007.19429357083	7868.43351223215	7877.34401916894
Kansas	5345.14397043295	5739.17679631525	6113.52973955774	6583.32157465194	6520.66038078958	6995.01765954186	7254.49659879547	7309.9816750914	7583.46043718137	7896.35424407952	8270.38999614769	8530.49383078444
Kentucky	5639.99632523759	6142.22602865916	6759.7132972973	7193.99167546808	7387.5501718463	7886.01800781051	8230.95819018307	8423.38061808943	8814.73107409735	8888.90246859462	9223.34142310156	9566.67257334121
Louisiana	4453.02658922915	4512.93004094166	4421.25592137592	4388.11723475756	4419.07649433544	4745.35260110239	5181.15774892093	5541.64217738866	6119.8942401704	6748.43325065834	7336.70323306845	7870.95972265047
Maine	7057.55572333685	7407.55634595701	7758.89368058968	8402.72892942871	8764.37513411285	9468.5410144369	9791.98311094394	9893.82779897487	9753.28847161115	9594.34114454015	9560.24416039767	9572.96844456856
Maryland	8530.55744456177	8716.85567041965	8462.54183783784	8379.81447911666	8020.08677783637	8284.97338763228	8469.60014861635	8409.6479935553	8552.22667434877	8663.28803314366	8696.80703172124	9163.29158226419
Massachusetts	8863.21138331573	8958.685209826	8892.93996068796	9036.31348055689	8939.05505446346	10238.7465393706	10386.3986312617	10737.8560299572	11092.8942576297	10980.5582049996	10986.9238672664	11588.125344458
Michigan	7930.772312566	8668.00121801433	8998.48718427518	9737.49566010562	9905.76194286338	10817.2318401122	11094.6616913825	11451.9525057321	11659.5704221664	11851.1721091115	11618.2117293688	11990.5282240303
Minnesota	8143.72123548046	8481.13293756397	8816.71141031941	8934.34417666827	9023.6825935153	9738.94410520499	10275.8351551069	10582.5717371482	10792.8892293456	10690.9060438608	10582.0897220485	10831.3604716199
Mississippi	5028.87071805702	5110.17572159672	5218.72383292383	5450.20200672108	5367.33891909585	5487.85289132625	5795.2776511277	5992.7060755482	6415.73253195056	6707.11142428748	6870.36431845752	7147.27123424614
Missouri	7477.15330517423	7659.15677584442	7653.34645700246	7842.47061929909	7842.15195213762	7995.73073726149	7959.47559526813	8118.09381113836	8276.18038096236	8268.2358516413	8409.01544957015	8564.10974343829
Montana	5629.91590285111	6006.65492323439	6166.30335135135	6074.62077772444	5789.39164590569	6078.52849534017	6143.38839783314	6212.4280680943	6411.56579544661	6360.14598593575	6301.40809764305	6351.07648725213
Nebraska	5947.44920802534	6475.65766632549	6132.29369041769	6394.27735957753	6462.07208452292	6908.57732724715	7224.94002596199	7295.19269482388	7483.45876108667	7473.38999811641	7347.86088745321	7607.96586568821
Nevada	3621.39174234424	3687.28979529171	4274.66255528256	4523.31249159866	4770.60627193541	5034.59525147318	5821.55016031301	6383.55769690424	6656.36156505343	6525.29622938749	6437.62556190812	6667.2358015816
New Hampshire	10187.52687434	10484.1654861822	10703.6612186732	11111.216956313	11167.5802494954	12273.4189764617	13077.1414469912	14262.9151122954	15224.213501292	14968.8511236958	14755.9104462564	15159.8952641166
New Jersey	10053.9612777191	10504.9286284545	10942.9015921376	11427.4363706193	11661.2408939645	12337.6951209885	12752.0191458229	12707.9594727384	12934.5917923738	12998.2116409877	13027.1717131707	13303.4194903362
New Mexico	4925.54638859556	5187.12148413511	4756.66154299754	4867.02924627941	4904.05739120947	5303.89013285288	5613.55946259592	5741.29341100026	5914.68246735107	6089.42228075876	6165.58290350014	6354.52143896386
